MAP NAME                  | DIFF       | STARS      | PTS    | CREATOR                   | DATE           
Omezurion4Neo             | Insane     | ★★★        | 38     | Omezurion                 | 2022-07-29     
Ominous                   | Hard       | ★★☆        | 21     | FlipLipp                  | 2019-08-10     
One_N                     | Hard       | ★★★        | 18     | sasha34827                | 2025-12-31     
Operaenna                 | Insane     | ★★☆        | 64     | Themix                    | 2024-08-03     
Otherworld                | Hard       | ★★☆        | 24     | V4CUOUS                   | 2019-07-23     
Otherworldly_Way          | Solo       | ★★★☆☆      | 14     | ZXC¿Girl?                 | 2024-12-29     
Outer                     | Hard       | ★☆☆        | 14     | Route66                   | 2022-01-14     
OutOfTheSky               | Hard       | ★☆☆        | 20     | purrpT                    | 2020-02-04     
Overclocked               | Insane     | ★★★        | 42     | Omezurion                 | 2023-06-01     
ozurdilerim_              | Extreme    | ★☆☆        | 44     | ozurdilerim               | 2024-02-09     
Panik-Gores               | Main       | ★★★        | 6      | Panik                     | Released during a sunset
Panik4Shero               | Main       | ★★★        | 11     | Panik                     | Released during a sunset
Panther                   | Main       | ★★★        | 20     | Crispy                    | 2024-12-26     
Paradise_Island           | Insane     | ★☆☆        | 35     | Feat                      | 2018-09-28     
Paris                     | Hard       | ★☆☆        | 11     | Ssor                      | 2023-12-02     
PartlyCloudy              | Main       | ★☆☆        | 6      | Anti                      | 2023-03-16     
Pastelirycs               | Insane     | ★☆☆        | 35     | Themix                    | 2019-10-17     
Pater                     | Main       | ★☆☆        | 6      | sasha34827                | 2025-06-09     
PatrickStar               | Main       | ★★★        | 11     | PatrickStar               | Released during a sunset
PDW                       | Hard       | ★★★        | 34     | Mixi                      | 2022-11-21     
PeaceDeath                | Main       | ★★★        | 13     | Nyanto                    | 2017-09-23     
Peaceful                  | Insane     | ★★★        | 38     | Ssor                      | 2024-02-15     
Pepino                    | Hard       | ★★★        | 25     | cc                        | 2019-12-29     
Peuma                     | Main       | ★★☆        | 10     | Mathysplayer              | 2021-09-21     
Phoenix                   | Insane     | ★★☆        | 36     | Maze                      | 2021-07-20     
Pickuchi                  | Insane     | ★☆☆        | 27     | phizyxxx & ωerιx          | 2025-09-14     
Piece_of_Sheet            | Insane     | ★★★        | 47     | Jore                      | 2021-06-20     
Pillars                   | Main       | ★★★        | 13     | Beautemps                 | 2021-09-07     
Pinkdream                 | Main       | ★★☆        | 10     | Shivi                     | 2024-02-01     
Pinko                     | Hard       | ★☆☆        | 11     | ρнιʐyxxx                  | 2025-12-28     
Pipparo                   | Insane     | ★☆☆        | 35     | Milaseq_                  | 2025-11-23     
planetse                  | Insane     | ★★☆        | 40     | se                        | 2022-11-30     
Planetux                  | Easy       | ★★★        | 5      | tux                       | 2020-01-02     
Plumeria                  | Hard       | ★☆☆        | 14     | Windy                     | 2022-07-01     
PoiPoi                    | Solo       | ★★★★★      | 44     | ipoopi                    | 2023-12-27     
Pokemon_Gen1              | Hard       | ★★☆        | 42     | RaiNy                     | 2019-01-01     
Polar                     | Hard       | ★★☆        | 35     | Protokol TnP, Krumplee, FlipLipp | 2020-05-17     
Pop                       | Main       | ★★☆        | 5      | Pop                       | 2015-05-31     
Pop2                      | Main       | ★★☆        | 8      | Pop                       | Released during a sunset
Pop3e                     | Main       | ★★★        | 13     | Pop                       | Released during a sunset
Portico                   | Hard       | ★☆☆        | 14     | Twisted                   | 2025-07-22     
Possession                | Insane     | ★★★        | 47     | Krumplee                  | 2020-06-28     
Pradera                   | Mod        | ★★★☆☆      | 14     | Warto                     | 2023-01-29     
pressure                  | Main       | ★★★        | 13     | neverminze                | 2020-06-05     
Princess_of_Darkness      | Extreme    | ★☆☆        | 54     | Bibek                     | 2022-06-26     
promyu                    | Hard       | ★☆☆        | 14     | Komyu                     | 2024-06-05     
Protokol1                 | Main       | ★★★        | 11     | Protokol                  | 2018-09-22     
Protokol3                 | Hard       | ★★★        | 22     | Protokol                  | 2018-10-19     
Protokol4                 | Hard       | ★★★        | 22     | Protokol                  | 2019-03-19     
protokolbzw               | Insane     | ★★★        | 47     | Protokol, bzw             | 2022-12-02     
Pukki_World               | Mod        | ★★★★★      | 32     | mrs.                      | 2022-12-23     
Pup1e                     | Main       | ★★☆        | 8      | Pup                       | Released during a sunset
Pup2                      | Main       | ★★★        | 8      | Pup                       | Released during a sunset
Pup3                      | Main       | ★★☆        | 8      | Pup                       | Released during a sunset
Pup4                      | Main       | ★★☆        | 6      | Pup                       | Released during a sunset
Pup5e                     | Main       | ★★★        | 13     | Pup                       | Released during a sunset
PupRed1e                  | Main       | ★★★        | 13     | Pup & RegFight            | Released during a sunset
Purple                    | Insane     | ★★☆        | 36     | Mqx                       | 2025-11-09     
purple_space              | Hard       | ★★☆        | 24     | purrpT                    | 2020-01-02     
PurpleStardust            | Insane     | ★★☆        | 36     | FlipLipp                  | 2019-08-19     
Q-Adventure               | Main       | ★★★        | 11     | QshaR                     | 2018-05-12     
Q-Aip-Gores               | Main       | ★☆☆        | 6      | QshaR                     | Released during a sunset
Q-Aip-Gores2              | Main       | ★★☆        | 8      | QshaR                     | Released during a sunset
Q-Aip-Gores3              | Main       | ★★★        | 11     | QshaR                     | Released during a sunset
Q-Aip-Gores4              | Main       | ★★☆        | 8      | QshaR                     | Released during a sunset
Q-Aip-Gores5              | Main       | ★★☆        | 8      | QshaR                     | Released during a sunset
Q-Aip-Gores6              | Main       | ★★☆        | 6      | QshaR                     | Released during a sunset
Q-Aip-Gores7              | Main       | ★★☆        | 8      | QshaR                     | Released during a sunset
Q-Aip-Gores8              | Main       | ★★☆        | 8      | QshaR                     | Released during a sunset
Q-Dummy-Drag1             | Mod        | ★☆☆☆☆      | 4      | QshaR                     | Released during a sunset
Q-Dummy-Drag2             | Mod        | ★☆☆☆☆      | 4      | QshaR & FlipLipp          | Released during a sunset
Q-Easy1                   | Easy       | ★★★        | 4      | QshaR                     | 2017-07-02     
Q-Easy2                   | Easy       | ★★★        | 4      | QshaR                     | 2017-07-02     
Q-Gores-Unhook            | Mod        | ★★☆☆☆      | 8      | QshaR                     | Released during a sunset
Q-Gores3                  | Main       | ★☆☆        | 5      | QshaR                     | Released during a sunset
Q-Hook                    | Mod        | ★★☆☆☆      | 8      | QshaR                     | Released during a sunset
Q-KoG-1                   | Main       | ★★★        | 16     | QshaR                     | Released during a sunset
Q-KoG-2                   | Main       | ★★★        | 20     | QshaR                     | Released during a sunset
Q-KoG-3                   | Main       | ★★★        | 20     | QshaR                     | Released during a sunset
Q-KoG-4                   | Main       | ★★★        | 20     | QshaR                     | Released during a sunset
Q-KoG-5                   | Main       | ★★★        | 20     | QshaR                     | Released during a sunset
Q-KoG-Portal              | Main       | ★★★        | 16     | QshaR                     | Released during a sunset
Q-move                    | Hard       | ★☆☆        | 14     | QshaR                     | 2016-11-26     
Q-Story                   | Main       | ★★★        | 16     | QshaR                     | Released during a sunset
Q-tele                    | Hard       | ★☆☆        | 14     | QshaR                     | 2016-10-30     
QF-Competition            | Main       | ★★☆        | 12     | QshaR                     | Released during a sunset
QF-Competition2           | Main       | ★★★        | 16     | QshaR                     | Released during a sunset
QF-Gores                  | Main       | ★★☆        | 10     | QshaR                     | Released during a sunset
QM-Gores                  | Main       | ★★★        | 16     | Morfeus & QshaR           | Released during a sunset
QuickOne                  | Main       | ★☆☆        | 6      | neverminze                | 2020-05-05     
R_dventure                | Hard       | ★★★        | 22     | RaiNy                     | 2019-10-19     
Race_69                   | Extreme    | ★☆☆        | 61     | Themix                    | 2024-07-05     
Radioactive               | Insane     | ★★★        | 47     | purrp T                   | 2024-12-25     
RaiMee                    | Hard       | ★☆☆        | 24     | RaiNy_meew                | 2018-03-28     
RainbowRoads              | Hard       | ★★★        | 29     | bzw                       | 2018-02-25     
RaiNy10                   | Hard       | ★★☆        | 21     | RaiNy                     | 2018-06-18     
RaiNy4Ink                 | Hard       | ★★☆        | 21     | RaiNy                     | 2017-06-23     
RaiNyMore                 | Hard       | ★☆☆        | 16     | RaiNy                     | 2017-09-02     
RaiNyMore2                | Hard       | ★★★        | 25     | RaiNy                     | 2019-05-29     
RaiNyOD                   | Hard       | ★★☆        | 21     | RaiNy                     | 2017-10-31     
rawensawa                 | Insane     | ★★★        | 42     | rawensawa                 | 2024-01-20     
rawensawa4chang           | Extreme    | ★☆☆        | 48     | rawensawa                 | 2024-06-18     
rawensawa4wade            | Insane     | ★☆☆        | 30     | rawensawa                 | 2024-06-24     
Ready4Delete              | Hard       | ★★★        | 29     | Themix                    | 2019-04-06     
Real4Taco                 | Hard       | ★★☆        | 24     | RealTaco                  | 2024-02-21     
red                       | Solo       | ★★☆☆☆      | 6      | Zonsa                     | 2023-09-06     
RedCastle                 | Hard       | ★★★        | 34     | mrs                       | 2021-04-09     
RedCastle2                | Hard       | ★★★        | 29     | mrs                       | 2022-04-15     
RedCastle3                | Insane     | ★☆☆        | 41     | mrs.                      | 2023-12-25     
RedMoon                   | Insane     | ★☆☆        | 35     | FlipLipp                  | 2018-11-15     
Rei4Omesurion             | Hard       | ★★★        | 22     | Rei ayanami               | 2021-12-19     
Rei4Top                   | Hard       | ★★★        | 22     | Rei ayanami               | 2022-11-27     
Rei_N_Sd030               | Main       | ★★☆        | 10     | Rei ayanami, sd030        | 2022-04-19     
Reja                      | Main       | ★★☆        | 8      | Warto                     | 2022-11-26     
Reja2                     | Main       | ★★☆        | 10     | Warto                     | 2025-01-13     
Reminder                  | Insane     | ★★★        | 42     | elnoid                    | 2024-06-26     
Revenge                   | Solo       | ★★★☆☆      | 14     | FJP                       | 2025-02-04     
Reverberate               | Hard       | ★★★        | 29     | mrs                       | 2022-03-18     
rey4benz                  | Insane     | ★★★        | 42     | ReyDeuce                  | 2024-10-06     
rey4rey                   | Insane     | ★★★        | 42     | ReyDeuce                  | 2024-08-25     
Ring_of_Gores_III         | Insane     | ★★★        | 73     | Themix                    | 2021-05-01     
RingofGores               | Insane     | ★★☆        | 36     | Themix                    | 2017-12-23     
RingofGores2              | Insane     | ★★★        | 63     | Themix                    | 2020-04-26     
Rivers_of_Blood           | Extreme    | ★★☆        | 51     | Bibek                     | 2025-09-01     
Rosa                      | Main       | ★★☆        | 10     | Warto                     | 2023-11-21     
Rosa2                     | Main       | ★★★        | 16     | Warto                     | 2025-04-25     
Route                     | Main       | ★★★        | 16     | Route66                   | 2021-04-30     
Rox                       | Hard       | ★☆☆        | 14     | Zonsa                     | 2020-06-30     
rubble                    | Main       | ★☆☆        | 6      | FJP                       | 2023-12-26     
Rubnitos                  | Hard       | ★☆☆        | 16     | Rubnitos                  | 2017-02-15     
Ruin                      | Hard       | ★☆☆        | 14     | Thermiq                   | 2024-01-05     
RuskiFlip                 | Main       | ★★★        | 11     | FlipLipp                  | 2019-04-19     
RyuGore1                  | Main       | ★★★        | 8      | Ryuma                     | 2018-07-13     
RyuGore2                  | Hard       | ★★★        | 25     | Ryu                       | 2018-09-10     
RyuGore3                  | Insane     | ★★☆        | 32     | Ryuma                     | 2018-09-19     
RyuGore4                  | Main       | ★★★        | 8      | Ryuma                     | 2018-10-03     
RyuGore5                  | Insane     | ★★☆        | 27     | Ryuma                     | 2019-01-28     
Ryugores_6                | Hard       | ★★★        | 34     | MoonCake                  | 2024-04-10     
Sabled_Sun_1              | Hard       | ★★☆        | 18     | Gloomy_Wanderer           | 2019-02-01     
Sacrefount                | Extreme    | ★☆☆        | 54     | Themix                    | 2024-04-25     
sakura                    | Main       | ★★★        | 11     | GELO                      | 2021-05-09     
samo-FWYS1e               | Main       | ★★★        | 16     | samo                      | Released during a sunset
samo-FWYS2e               | Main       | ★★★        | 16     | samo                      | Released during a sunset
Sanada                    | Mod        | ★★★☆☆      | 14     | Warto                     | 2023-03-14     
Sanada2                   | Main       | ★★★        | 16     | Warto                     | 2025-05-18     
Sandblast                 | Hard       | ★★☆        | 21     | Shivi                     | 2024-08-23     
Sandy_Cave                | Main       | ★☆☆        | 6      | TUX                       | 2018-09-12     
Sapphire                  | Main       | ★★☆        | 8      | Brokecdx_Miiep            | 2018-12-15     
Saturation                | Insane     | ★☆☆        | 30     | sync, Zonsa               | 2020-09-19     
Savannux                  | Easy       | ★☆☆        | 1      | Tux                       | 2024-05-31     
Scary                     | Insane     | ★★★        | 42     | UnKnown                   | 2021-08-28     
Screwdriver               | Hard       | ★★☆        | 24     | Protokol                  | 2019-07-05     
sd004_NIghtLIfe           | Main       | ★★☆        | 12     | sd030                     | 2022-01-18     
sd005                     | Main       | ★★☆        | 8      | sd030                     | 2021-12-23     
Selva                     | Main       | ★★☆        | 8      | Warto                     | 2023-01-13     
SEMI                      | Main       | ★★☆        | 8      | Rei ayanami               | 2021-12-30     
SendanLife                | Insane     | ★☆☆        | 27     | Afterbjörn                | 2025-11-02     
Serenitee                 | Insane     | ★★★        | 38     | firewave                  | 2022-08-26     
Shadow_Gores              | Main       | ★★☆        | 8      | Deeper                    | Released during a sunset
Shadow_Spring             | Mod        | ★★★☆☆      | 14     | Amol                      | 2024-01-12     
sharkexe                  | Hard       | ★★☆        | 18     | Zero                      | 2021-01-16     
Shattered                 | Hard       | ★★★        | 25     | humik                     | 2023-09-03     
Sheldor                   | Main       | ★★★        | 11     | Sheldon                   | Released during a sunset
shiro1                    | Hard       | ★☆☆        | 16     | Shiro                     | 2021-02-26     
shiro2                    | Main       | ★★★        | 13     | Shiro                     | 2021-06-15     
shishi4minyxe             | Hard       | ★★☆        | 21     | Shishigami                | 2023-08-20     
Shorty                    | Insane     | ★★★        | 38     | feat                      | 2022-07-03     
Shyzo4Cecily              | Main       | ★★★        | 11     | Shyzo                     | 2017-05-03     
Shyzo4Sasukey             | Hard       | ★★☆        | 18     | Shyzo                     | 2017-07-15     
Shyzo4TheCrew             | Insane     | ★★☆        | 36     | Shyzo                     | 2018-07-27     
Shyzo4TS                  | Insane     | ★★☆        | 40     | Shyzo                     | 2018-09-01     
ShyzoEZ-1                 | Easy       | ★★☆        | 3      | Shyzo                     | 2017-07-08     
Silently                  | Main       | ★★☆        | 10     | Rw                        | 2025-06-27     
Silhouette                | Insane     | ★★☆        | 32     | FJP                       | 2026-01-25     
Simplistic                | Hard       | ★★☆        | 18     | Thermiq                   | 2023-05-22     
Simplistic2               | Hard       | ★★☆        | 18     | Thermiq                   | 2023-10-30     
Simply_Nine               | Hard       | ★★★        | 25     | Themix                    | Released during a sunset
sionstail                 | Insane     | ★★☆        | 32     | Shinzō                    | 2025-06-27     
SKILL                     | Hard       | ★★★        | 22     | Rei ayanami               | 2022-06-28     
SKILLS                    | Hard       | ★★★        | 18     | Rei ayanami               | 2022-08-23     
Sky_Dungeon               | Main       | ★★★        | 11     | Rei ayanami               | 2021-05-23     
Skyground                 | Hard       | ★★★        | 25     | firewave                  | 2021-09-24     
SkyrelOne                 | Insane     | ★☆☆        | 30     | Skyrel                    | 2018-07-10     
SkyrelTwo                 | Insane     | ★★★        | 42     | Skyrel                    | 2023-04-26     
Slave_of_evil             | Insane     | ★★★        | 42     | Bibek                     | 2022-07-19     
SnailChan_Adventure       | Insane     | ★☆☆        | 35     | Shiiir0, Xin              | 2021-07-16     
Snakepit                  | Insane     | ★★★        | 54     | Mixi                      | 2023-12-31     
snikichu                  | Extreme    | ★★☆        | 91     | ejjie                     | 2025-10-05     
SnipeZonsa                | Insane     | ★★☆        | 40     | SnipeZ² & Zonsa           | 2025-03-22     
Snow_Sleep                | Hard       | ★☆☆        | 35     | Mixi                      | 2023-09-01     
SoFall                    | Hard       | ★★★        | 25     | Fallet, Soyler            | 2020-10-06     
SolarSystem               | Hard       | ★★☆        | 29     | mind and tux              | 2021-06-13     
Sonder                    | Main       | ★★★        | 13     | Money Boy                 | 2021-11-23     
SpacedOut                 | Hard       | ★★★        | 25     | Protokol,Feat             | 2020-07-12     
SpaceJump                 | Main       | ★★★        | 16     | Vampyrali                 | 2017-11-12     
Spirits_Path              | Extreme    | ★☆☆        | 54     | purrp T                   | 2023-10-07     
Spitfire                  | Easy       | ★★★        | 5      | Beautemps, Omesurion      | 2020-09-22     
splith                    | Main       | ★★☆        | 10     | konwic                    | 2020-12-15     
Springlobe                | Main       | ★★★        | 20     | Themix                    | Released during a sunset
SPUDIMAN                  | Hard       | ★☆☆        | 16     | ejjie, Afterburn          | 2024-12-13     
Square_of_Gods            | Extreme    | ★★★        | 127    | Mixi                      | 2024-12-31     
Square_of_Gores           | Insane     | ★★★        | 63     | Mixi                      | 2021-02-09     
Square_of_Gores_2         | Insane     | ★★★        | 73     | Mixi                      | 2021-12-25     
Square_of_Gores_3         | Extreme    | ★★★        | 115    | Mixi                      | 2023-05-01     
Square_of_Gores_4         | Solo       | ★★★★★      | 44     | Mixi                      | 2024-07-28     
Ssor4badoumed             | Insane     | ★★☆        | 32     | Ssor                      | 2024-08-31     
Ssor4Kleas                | Hard       | ★★☆        | 18     | Ssor                      | 2023-07-28     
Ssor4Minori               | Insane     | ★★★        | 38     | Ssor                      | 2023-09-13     
Ssor4Misse                | Main       | ★★★        | 11     | Ssor                      | 2022-12-31     
Ssor4Toji                 | Extreme    | ★☆☆        | 54     | Ssor                      | 2024-07-08     
Ssor4Valouuu              | Hard       | ★★★        | 25     | Ssor                      | 2023-10-20     
StargazerFullOne          | Hard       | ★☆☆        | 14     | Mind                      | 2023-11-24     
Stars                     | Hard       | ★☆☆        | 14     | UnKnown                   | 2019-08-15     
Stonesss                  | Solo       | ★☆☆☆☆      | 3      | Zonsa                     | 2023-12-03     
Stripes                   | Hard       | ★★★        | 25     | Genex                     | 2019-05-24     
subdue                    | Easy       | ★★☆        | 4      | FJP                       | 2024-12-29     
SummerNights              | Hard       | ★★★        | 25     | purrpT                    | 2023-06-22     
Suna_Tokei                | Insane     | ★★★        | 42     | Zonsa_pandoru_j4m3s       | 2019-10-19     
Sunrise                   | Insane     | ★☆☆        | 23     | ωerιx                     | 2025-10-05     
Sunshine                  | Easy       | ★☆☆        | 1      | Afterbjörn                | 2024-11-26     
SUPSANE                   | Insane     | ★★☆        | 36     | Shyzo                     | 2018-04-28     
Sura                      | Insane     | ★★★        | 47     | Bibek                     | 2022-04-23     
Synergy                   | Insane     | ★☆☆        | 30     | Krumplee, sync            | 2020-05-29     
Synth                     | Hard       | ★★☆        | 21     | Windy                     | 2023-08-08     
Syre                      | Extreme    | ★★☆        | 91     | Redemption                | 2023-03-26     
Tae                       | Hard       | ★★★        | 22     | Tae                       | 2023-03-19     
Teelands                  | Hard       | ★★★        | 22     | purrp T                   | 2020-07-03     
Teelands_2                | Hard       | ★★★        | 25     | purrp T                   | 2020-10-20     
Teelands_3                | Insane     | ★☆☆        | 30     | purrp T                   | 2021-01-07     
Teematic                  | Insane     | ★★☆        | 36     | purrpT                    | 2026-01-18     
Tendril                   | Insane     | ★★★        | 47     | ipoopi                    | 2025-09-23     
Tenzet                    | Hard       | ★★★        | 25     | RealTaco                  | 2023-12-11     
Ternion                   | Hard       | ★★★        | 22     | ipoopi                    | 2023-11-03     
Terran                    | Easy       | ★★☆        | 2      | Windy                     | 2021-08-06     
Terston1                  | Hard       | ★☆☆        | 16     | Terston                   | 2017-07-23     
Terston2                  | Main       | ★★★        | 11     | Terston                   | 2017-09-30     
Terston3                  | Main       | ★★★        | 11     | Terston                   | 2018-09-15     
Terston4                  | Hard       | ★☆☆        | 14     | Terston                   | 2021-01-26     
Terston4Bzw               | Hard       | ★☆☆        | 16     | Terston                   | 2020-06-23     
Terston4Ink               | Main       | ★★★        | 16     | Terston                   | 2017-06-30     
Terston4Tux               | Hard       | ★★☆        | 18     | Terston                   | 2020-12-22     
Terston5                  | Hard       | ★★☆        | 18     | Terston                   | 2021-08-06     
Terston6                  | Hard       | ★☆☆        | 14     | Terston                   | 2021-08-17     
Terston7                  | Main       | ★★★        | 13     | Terston                   | 2022-07-08     
Terston8                  | Main       | ★★★        | 13     | Terston                   | 2025-09-07     
TerstonBzw                | Hard       | ★☆☆        | 16     | Terston_bzw               | 2019-12-19     
The_Cube_2                | Insane     | ★★★        | 47     | SlyDzE                    | 2022-11-15     
The_End                   | Extreme    | ★★★        | 58     | Mixi                      | 2024-01-24     
The_Ghost_Train           | Hard       | ★★★        | 41     | Beautemps, Krumplee, BoWser, Brokecdx-, FlipLipp | 2022-10-29     
The_Price                 | Insane     | ★☆☆        | 30     | Twisted                   | 2025-10-26     
The_Pyra                  | Main       | ★★★        | 13     | RaiNy                     | 2017-01-25     
TheCube                   | Hard       | ★★★        | 29     | SlyDzE                    | 2020-12-11     
TheForest                 | Main       | ★★★        | 13     | Oмezurion                 | 2021-01-19     
TheGauntlet               | Insane     | ★★★        | 63     | Destin                    | 2019-06-03     
TheGauntlet2              | Extreme    | ★☆☆        | 81     | Destin                    | 2022-12-26     
Themed4RegKecske          | Insane     | ★★☆        | 32     | Themed                    | 2025-04-06     
themixi                   | Insane     | ★★★        | 47     | Themix & Mixi             | 2025-05-09     
themixi_2                 | Extreme    | ★★☆        | 80     | Themix & Mixi             | 2025-08-24     
ThisIsSnipeZ              | Insane     | ★★☆        | 36     | SnipeZ²                   | 2024-12-27     
Through_the_Dust          | Main       | ★★★        | 11     | Ravie                     | 2018-11-11     
TimeWarp                  | Main       | ★★★        | 13     | tux and Ravie             | 2021-02-23     
Together                  | Mod        | ★★☆☆☆      | 22     | FJP                       | 2025-07-13     
Tomahawk                  | Insane     | ★★☆        | 40     | Neo                       | 2018-09-13     
TomTom                    | Insane     | ★☆☆        | 30     | Destom_Hesse              | 2017-07-14     
TomTom2                   | Insane     | ★☆☆        | 35     | Hesse                     | 2017-08-06     
TomTom3                   | Hard       | ★★★        | 29     | Hesse_Destom              | 2017-09-11     
TomTom4                   | Insane     | ★★☆        | 40     | Destin,Hesse              | 2020-07-08     
TomTom5                   | Insane     | ★☆☆        | 35     | Destin, Hesse             | 2020-11-06     
TomTom6                   | Insane     | ★★☆        | 47     | Destin, Hesse             | 2020-12-08     
TomTom7                   | Insane     | ★★★        | 47     | Destin, Hesse             | 2021-10-15     
Tookies                   | Hard       | ★☆☆        | 14     | Tux                       | 2019-04-08     
Topaz                     | Main       | ★☆☆        | 6      | Crispy                    | 2022-12-26     
Toxigon                   | Insane     | ★★★        | 47     | Krumplee                  | 2019-09-29     
Toxina                    | Hard       | ★☆☆        | 20     | Warto                     | 2022-08-30     
Toxina2                   | Hard       | ★☆☆        | 20     | Warto                     | 2024-07-21     
Treesmas                  | Hard       | ★★☆        | 21     | Canarda                   | 2025-05-09     
TreeZ                     | Insane     | ★★★        | 47     | SnipeZ²                   | 2024-12-31     
TRILOG1A                  | Insane     | ★☆☆        | 27     | Lebrieg, Larlok           | 2021-06-06     
Trooper                   | Main       | ★★★        | 16     | Crispy                    | 2023-09-15     
Tux4Rookies               | Easy       | ★★★        | 5      | Tux                       | 2018-05-31     
Tuxcana                   | Main       | ★☆☆        | 6      | tux                       | 2021-11-12     
Twike4Schizophrenia       | Hard       | ★★☆        | 24     | Twike                     | 2021-06-04     
TwistmasAdventure         | Hard       | ★★☆        | 29     | mind                      | 2024-12-20     
Twofive                   | Solo       | ★★★★☆      | 27     | Themix                    | 2023-11-11     
tyrone4fretardo           | Main       | ★★★        | 11     | Tyrone                    | 2021-12-14     
Tyrone4Frozen             | Hard       | ★☆☆        | 14     | Tyrone                    | 2021-12-31     
uk1                       | Main       | ★★★        | 13     | UnKown                    | 2019-05-30     
uk2                       | Hard       | ★★★        | 25     | UnKnown                   | 2019-09-08     
uk3                       | Hard       | ★★★        | 25     | UnKnown                   | 2020-01-12     
Uk4                       | Hard       | ★★☆        | 24     | UnKnown                   | 2020-10-16     
UNDR                      | Hard       | ★★☆        | 14     | GloomyWanderer            | 2018-09-22     
Unique                    | Insane     | ★☆☆        | 27     | UnKnown                   | 2021-05-28     
UnKnown4Grass             | Hard       | ★★☆        | 18     | UnKnown                   | 2020-03-05     
UnKnown4vED               | Insane     | ★☆☆        | 27     | UnKnown                   | 2021-05-30     
UnlockTeam                | Mod        | ★★★★☆      | 22     | coany                     | 2021-05-16     
Untilted                  | Insane     | ★★★        | 38     | Milaseq_                  | 2025-12-27     
urskog                    | Hard       | ★☆☆        | 16     | New_Hero                  | 2023-05-13     
VampEz1                   | Easy       | ★★☆        | 2      | Vampyrali                 | 2017-08-26     
Vampyrali2                | Main       | ★★☆        | 8      | Vampyrali                 | Released during a sunset
Vampyrali3                | Main       | ★★☆        | 8      | Vampyrali                 | Released during a sunset
Veltrix                   | Insane     | ★☆☆        | 27     | johny tailor              | 2026-02-09     
Vigorously                | Main       | ★★★        | 11     | Zonsa                     | 2020-12-29     
Voodi                     | Main       | ★★☆        | 8      | sasha34827                | 2025-08-24     
WaLu                      | Hard       | ★★☆        | 21     | WaKarnage, Lucas          | 2021-11-16     
WarmUp_by_Shyzo           | Insane     | ★★☆        | 40     | Shyzo                     | 2018-06-03     
Warto4Vappy               | Hard       | ★★☆        | 21     | Warto                     | 2023-06-26     
Waschlappen               | Main       | ★★★        | 11     | Waschlappen               | Released during a sunset
Waterfall                 | Main       | ★★★        | 24     | Beautemps                 | 2020-08-15     
Wats4Forbidden            | Main       | ★★☆        | 8      | Wats                      | 2018-07-20     
WhatRemains               | Insane     | ★★★        | 38     | MoonCake                  | 2019-05-29     
Whispering                | Hard       | ★★☆        | 18     | MoonCake                  | 2019-08-06     
White                     | Main       | ★★★        | 11     | BoWser                    | 2022-08-16     
Whitedom                  | Hard       | ★★☆        | 21     | RealTaco                  | 2023-08-25     
WhiteMoon                 | Hard       | ★★★        | 22     | FlipLipp                  | 2018-11-19     
Wicked                    | Insane     | ★★☆        | 36     | Jore                      | 2022-05-24     
Wilderness                | Hard       | ★★☆        | 21     | wer1xx & sasha34827       | 2025-08-17     
Wind_Vane                 | Main       | ★☆☆        | 6      | mind                      | 2024-10-18     
Winter_rain               | Insane     | ★☆☆        | 27     | MoonCake                  | 2022-04-05     
Winter_rain_twisted       | Others     | ★★★        | 0      | mind                      | 2024-12-07     
Wintux                    | Main       | ★★☆        | 8      | Tux                       | 2019-01-28     
Wonderfrost               | Main       | ★★☆        | 10     | Shivi                     | 2024-05-28     
Xerceal                   | Insane     | ★★★        | 42     | Themix                    | 2025-03-17     
XmasAdventure             | Main       | ★★★        | 16     | Hidden                    | 2017-12-27     
XmasMove                  | Hard       | ★☆☆        | 16     | tux                       | 2020-03-02     
Xoxo4Hendrix              | Insane     | ★☆☆        | 30     | Xoxo                      | 2021-01-05     
xRyperion                 | Main       | ★★☆        | 8      | xRyperion_                | Released during a sunset
xRyperionGecko            | Main       | ★★☆        | 10     | xRyperion_ & Gecko & FlipLipp | Released during a sunset
Xyz_gores                 | Mod        | ★★☆☆☆      | 8      | Themix                    | Released during a sunset
YellowMoon                | Insane     | ★☆☆        | 35     | FlipLipp                  | 2018-12-23     
Yo1                       | Main       | ★★★        | 8      | Yo                        | Released during a sunset
Yo10                      | Main       | ★★★        | 20     | Yo                        | Released during a sunset
Yo11                      | Main       | ★★★        | 16     | Yo                        | Released during a sunset
Yo12                      | Insane     | ★☆☆        | 30     | Yo                        | 2017-09-01     
Yo13                      | Main       | ★★★        | 11     | Yo                        | 2017-08-04     
Yo2                       | Main       | ★★★        | 11     | Yo                        | Released during a sunset
Yo3                       | Main       | ★★☆        | 10     | Yo                        | Released during a sunset
Yo4                       | Main       | ★★☆        | 6      | Yo                        | Released during a sunset
Yo4Fast                   | Hard       | ★☆☆        | 16     | Yo                        | 2016-11-10     
Yo4Lama                   | Main       | ★★★        | 13     | Yo                        | Released during a sunset
Yo4Lama2                  | Hard       | ★★★        | 25     | Yo                        | Released during a sunset
Yo4WojMen                 | Main       | ★★★        | 6      | Yo                        | 2017-11-19     
Yo5                       | Main       | ★★☆        | 10     | Yo                        | Released during a sunset
Yo6                       | Main       | ★★★        | 16     | Yo                        | Released during a sunset
